"","X","name","type","latitude","longitude","population","year","gas","est_RFNB","gas_base","food_base","ANindex"
"3401",3445,"Oromocto","First Nations",45.851388889,-66.463611111,452,1988,50.1666666666667,182.115129492965,24.375,130.12552086436,0.680006282659311
"3422",3516,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1988,50.1666666666667,185.754447750202,24.375,133.764839121597,0.674724731255819
"3510",3283,"Woodstock","First Nations",46.109192,-67.57747,554,1988,50.1666666666667,203.69806196573,24.375,151.708453337125,0.652388798246476
"3573",3665,"Acadia","First Nations",43.832917,-66.084223,94,1989,52.175,286.848218872856,24.375,229.957232999803,0.582756665881045
"3582",3712,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1989,50.9166666666667,247.607357085508,24.5166666666667,190.716371212455,0.677921276246195
"3587",3700,"Bear River","First Nations",44.549444444,-65.623611111,297,1989,52.175,260.412271034261,24.375,203.521285161209,0.597769531666597
"3631",3786,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1989,52.7083333333333,277.296411690123,25.8166666666667,220.40542581707,0.61623002048279
"3642",3803,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1989,50.9166666666667,285.174728667003,24.5166666666667,228.283742793951,0.744131507378991
"3670",3653,"Kingsclear","First Nations",45.950442,-66.851933,558,1989,52.175,189.661109146502,24.375,132.77012327345,0.667359879601409
"3758",3802,"Oromocto","First Nations",45.851388889,-66.463611111,452,1989,52.175,187.016506737412,24.375,130.12552086436,0.671428275204228
"3779",3873,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1989,52.175,190.65582499465,24.375,133.764839121597,0.665871264797264
"3867",3640,"Woodstock","First Nations",46.109192,-67.57747,554,1989,52.175,208.599439210178,24.375,151.708453337125,0.642370402512713
"3930",4022,"Acadia","First Nations",43.832917,-66.084223,94,1990,51.6229166666667,292.274743679209,24.375,229.957232999803,0.600131330407654
"3939",4069,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1990,52.3895833333333,253.03388189186,24.5166666666667,190.716371212455,0.640848232651145
"3944",4057,"Bear River","First Nations",44.549444444,-65.623611111,297,1990,51.6229166666667,265.838795840614,24.375,203.521285161209,0.616752062854308
"3988",4143,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1990,53.8630952380952,282.722936496476,25.8166666666667,220.40542581707,0.614819484335554
"3999",4160,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1990,52.3895833333333,290.601253473356,24.5166666666667,228.283742793951,0.688882357313977
"4027",4010,"Kingsclear","First Nations",45.950442,-66.851933,558,1990,51.6229166666667,195.087633952855,24.375,132.77012327345,0.693795484837549
"4115",4159,"Oromocto","First Nations",45.851388889,-66.463611111,452,1990,51.6229166666667,192.443031543765,24.375,130.12552086436,0.698299602556809
"4136",4230,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1990,51.6229166666667,196.082349801002,24.375,133.764839121597,0.692147440504821
"4224",3997,"Woodstock","First Nations",46.109192,-67.57747,554,1990,51.6229166666667,214.02596401653,24.375,151.708453337125,0.666129653502884
"4287",4379,"Acadia","First Nations",43.832917,-66.084223,94,1991,54.9666666666667,298.926612796673,24.375,229.957232999803,0.576451442422913
"4296",4426,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1991,57.0833333333333,259.685751009325,24.5166666666667,190.716371212455,0.593832767709123
"4301",4414,"Bear River","First Nations",44.549444444,-65.623611111,297,1991,54.9666666666667,272.490664958079,24.375,203.521285161209,0.593727296207137
"4345",4500,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1991,59.7952380952381,289.37480561394,25.8166666666667,220.40542581707,0.566855027708048
"4356",4517,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1991,57.0833333333333,297.25312259082,24.5166666666667,228.283742793951,0.70730475477895
"4384",4367,"Kingsclear","First Nations",45.950442,-66.851933,558,1991,54.9666666666667,201.739503070319,24.375,132.77012327345,0.67380745497815
"4472",4516,"Oromocto","First Nations",45.851388889,-66.463611111,452,1991,54.9666666666667,199.094900661229,24.375,130.12552086436,0.678489106607801
"4493",4587,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1991,54.9666666666667,202.734218918467,24.375,133.764839121597,0.672094451474036
"4581",4354,"Woodstock","First Nations",46.109192,-67.57747,554,1991,54.9666666666667,220.677833133995,24.375,151.708453337125,0.645051149653423
"4644",4736,"Acadia","First Nations",43.832917,-66.084223,94,1992,54.2653846153846,298.401465234768,24.375,229.957232999803,0.582875251573113
"4653",4783,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1992,57.4205882352941,259.16060344742,24.5166666666667,190.716371212455,0.615161749053399
"4658",4771,"Bear River","First Nations",44.549444444,-65.623611111,297,1992,54.2653846153846,271.965517396173,24.375,203.521285161209,0.600241122577052
"4702",4857,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1992,57.1404761904762,288.849658052035,25.8166666666667,220.40542581707,0.592114761534187
"4713",4874,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1992,57.4205882352941,296.727975028915,24.5166666666667,228.283742793951,0.662079417812311
"4741",4724,"Kingsclear","First Nations",45.950442,-66.851933,558,1992,54.2653846153846,201.214355508414,24.375,132.77012327345,0.680738545428738
"4829",4873,"Oromocto","First Nations",45.851388889,-66.463611111,452,1992,54.2653846153846,198.569753099324,24.375,130.12552086436,0.685444591179145
"4850",4944,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1992,54.2653846153846,202.209071356562,24.375,133.764839121597,0.679016616182675
"4938",4711,"Woodstock","First Nations",46.109192,-67.57747,554,1992,54.2653846153846,220.15268557209,24.375,151.708453337125,0.651832403072105
"5001",5093,"Acadia","First Nations",43.832917,-66.084223,94,1993,54.975,300.852153856992,24.375,229.957232999803,0.580076720867478
"5010",5140,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1993,52.7125,261.611292069644,24.5166666666667,190.716371212455,0.686243230896234
"5015",5128,"Bear River","First Nations",44.549444444,-65.623611111,297,1993,54.975,274.416206018397,24.375,203.521285161209,0.597832203586548
"5059",5214,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1993,54.4297619047619,291.300346674259,25.8166666666667,220.40542581707,0.626877168615303
"5070",5231,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1993,52.7125,299.178663651139,24.5166666666667,228.283742793951,0.804129459539516
"5098",5081,"Kingsclear","First Nations",45.950442,-66.851933,558,1993,54.975,203.665044130638,24.375,132.77012327345,0.680135625053202
"5186",5230,"Oromocto","First Nations",45.851388889,-66.463611111,452,1993,54.975,201.020441721548,24.375,130.12552086436,0.684947253216141
"5207",5301,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1993,54.975,204.659759978786,24.375,133.764839121597,0.678375063491678
"5295",5068,"Woodstock","First Nations",46.109192,-67.57747,554,1993,54.975,222.603374194314,24.375,151.708453337125,0.650580959412086
"5358",5450,"Acadia","First Nations",43.832917,-66.084223,94,1994,54.2222222222222,301.552350606199,24.375,229.957232999803,0.589498841140394
"5367",5497,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1994,52.7597222222222,262.31148881885,24.5166666666667,190.716371212455,0.6706267913151
"5372",5485,"Bear River","First Nations",44.549444444,-65.623611111,297,1994,54.2222222222222,275.116402767604,24.375,203.521285161209,0.607678624107365
"5416",5571,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1994,53.8071428571429,292.000543423466,25.8166666666667,220.40542581707,0.635655214162783
"5427",5588,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1994,52.7597222222222,299.878860400346,24.5166666666667,228.283742793951,0.774280450432423
"5455",5438,"Kingsclear","First Nations",45.950442,-66.851933,558,1994,54.2222222222222,204.365240879845,24.375,132.77012327345,0.691948838743426
"5543",5587,"Oromocto","First Nations",45.851388889,-66.463611111,452,1994,54.2222222222222,201.720638470755,24.375,130.12552086436,0.696875449700955
"5564",5658,"Saint Mary's","First Nations",45.97195093,-66.632675405,136,1994,54.2222222222222,205.359956727993,24.375,133.764839121597,0.690146205292401
"5652",5425,"Woodstock","First Nations",46.109192,-67.57747,554,1994,54.2222222222222,223.303570943521,24.375,151.708453337125,0.661687909456508
"5715",5807,"Acadia","First Nations",43.832917,-66.084223,94,1995,55.7833333333333,305.053334352233,24.375,229.957232999803,0.579654036496447
"5724",5854,"Annapolis Valley","First Nations",45.065777,-64.654284,260,1995,54.3041666666667,265.812472564884,24.5166666666667,190.716371212455,0.681690489975546
"5729",5842,"Bear River","First Nations",44.549444444,-65.623611111,297,1995,55.7833333333333,278.617386513638,24.375,203.521285161209,0.598189161913539
"5773",5928,"Fort Folly","First Nations",45.892211914,-64.495483398,61,1995,57.4285714285714,295.5015271695,25.8166666666667,220.40542581707,0.602711672617655
"5784",5945,"Glooscap First Nation","First Nations",45.0425,-64.236944,315,1995,54.3041666666667,303.37984414638,24.5166666666667,228.283742793951,0.727263791281101
