"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"143","Leq' a: mel First Nation","First Nations","49.185","-122.076944444","345","1979","23.2083333333333","129.755449259735"
"144","Aklavik","First Nations","68.218200684","-135.006469727","361","1979","19.075","218.36314241254"
"145","Skidegate","First Nations","53.261413574","-131.997070313","110","1979","23.2083333333333","132.184411944209"
"146","Iskut","First Nations","57.840026855","-129.985290527","493","1979","23.2083333333333","140.043271604429"
"147","Simpcw First Nation","First Nations","51.322387695","-120.147888184","465","1979","23.2083333333333","130.560812536843"
"148","Moose Cree First Nation","First Nations","51.263888889","-80.596944444","371","1979","23.95","132.449145384371"
"149","Williams Lake","First Nations","52.106201172","-121.993896484","492","1979","23.2083333333333","126.394573467838"
"150","Stswecem'c Xgat'tem First Nation","First Nations","51.587219238","-122.204406738","482","1979","23.2083333333333","130.450069394382"
"151","Waswanipi","First Nations","49.693649133","-75.967010579","186","1979","23.95","134.730488811336"
"152","Metepenagiag Mi'kmaq Nation","First Nations","46.932222222","-65.858055556","454","1979","24.375","162.039081175347"
"153","Shackan","First Nations","50.289428711","-121.180480957","72","1979","23.2083333333333","146.704305635521"
"154","Gitanyow","First Nations","55.258787565","-128.05881555","519","1979","23.2083333333333","133.25050756716"
"155","Okanagan","First Nations","50.448055556","-119.353055556","166","1979","23.2083333333333","141.676569503673"
"156","Hagwilget Village","First Nations","55.255","-127.603055556","502","1979","23.2083333333333","147.157060066563"
"157","Snuneymuxw First Nation","First Nations","49.152038574","-123.92956543","122","1979","23.2083333333333","139.931313896493"
"158","Tsawout First Nation","First Nations","48.588989258","-123.386779785","527","1979","23.2083333333333","159.530530746298"
"159","Squiala First Nation","First Nations","49.156111111","-121.976111111","174","1979","23.2083333333333","147.746523600189"
"160","Sumas First Nation","First Nations","49.054351","-122.195349","294","1979","23.2083333333333","165.668235162206"
"161","Musqueam","First Nations","49.225165","-123.19828","73","1979","23.2083333333333","230.735905976631"
"162","Wahgoshig","First Nations","48.611944444","-79.983888889","295","1979","23.95","140.875533883454"
"163","Boston Bar First Nation","First Nations","49.869812012","-121.451293945","243","1979","23.2083333333333","186.565764317723"
"164","Kwiakah","First Nations","50.423888889","-125.158888889","189","1979","23.2083333333333","186.795027713665"
"165","Kwantlen First Nation","First Nations","49.173888889","-122.561944444","222","1979","23.2083333333333","194.44469561173"
"166","Dzawada'enuxw First Nation","First Nations","50.972595215","-126.17578125","412","1979","23.2083333333333","149.774251015201"
"167","God's Lake First Nation","First Nations","54.553608","-94.494085","247","1979","22.625","186.677488959509"
"168","Paqtnkek Mi'kmaw Nation","First Nations","45.601494964","-61.738137054","422","1979","25.8166666666667","152.879418379636"
"169","Montagnais de Unamen Shipu","First Nations","50.216796875","-60.666687012","28","1979","25.8166666666667","135.247527945445"
"170","Nooaitch","First Nations","50.18939209","-121.058410645","194","1979","23.2083333333333","139.486491710939"
"171","Nicomen","First Nations","50.265014648","-121.398986816","70","1979","23.2083333333333","233.779405789701"
"172","Indian Island","First Nations","46.689166667","-64.791111111","145","1979","25.8166666666667","159.35142233555"
"173","Montagnais du Lac St.-Jean","First Nations","48.559020996","-72.243896484","445","1979","23.8583333333333","240.321025089273"
"174","Manto Sipi Cree Nation","First Nations","54.838964685","-94.062978315","526","1979","22.625","215.670918836332"
"175","Kanaka Bar","First Nations","50.111816406","-121.561584473","200","1979","23.2083333333333","129.470397883848"
"176","Gitga'at First Nation","First Nations","53.424194336","-129.25378418","486","1979","23.2083333333333","129.079222207374"
"177","Weenusk","First Nations","54.987691","-85.44424","425","1979","22.625","145.395806696036"
